week	pond	cage	treat	treatment	week_treatment	Cl	NO2	NO3	PO4	SO4	Na	NH4	K	Ca	Mg	pH
week02	pond08	b	herbivory	week02_pond08_b	week02b	28.255	6.313	1.156	0.45	9.587	28.252	7.994	37.814	32.118	4.691	7.23
week02	pond09	b	herbivory	week02_pond09_b	week02b	29.265	7.183	1.052	0.554	12.09	26.73	6.895	35.257	35.357	4.817	7.27
week02	pond10	b	herbivory	week02_pond10_b	week02b	29.953	5.981	0.985	0.43	14.758	25.289	6.258	31.34	36.921	5.49	7.2
week04	pond01	a	control	week04_pond01_a	week04a	20.204	2.846	14.75	2.532	9.148	23.658	0.371	29.026	34.236	4.683	7.33
week04	pond02	a	control	week04_pond02_a	week04a	25.144	7.276	13.471	1.745	11.113	27.395	0.268	35.906	33.833	4.478	7.44
week04	pond03	a	control	week04_pond03_a	week04a	24.886	7.576	16.058	2.719	15.11	26.089	0.105	36.038	35.149	4.367	7.53
week04	pond04	a	control	week04_pond04_a	week04a	28.716	6.447	16.244	2.214	19.683	31.025	0.65	45.995	43.317	4.488	7.66
week04	pond05	a	control	week04_pond05_a	week04a	26.776	6.077	14.682	0.608	16.757	29.595	0.242	46.397	43.555	4.612	7.94
week04	pond06	a	control	week04_pond06_a	week04a	23.391	3.176	14.273	2.083	8.647	23.046	0.166	27.504	33.643	4.854	7.36
week04	pond07	a	control	week04_pond07_a	week04a	17.768	3.736	12.688	2.249	5.862	25.306	0.152	38.227	29.408	3.969	7.46
week04	pond08	a	control	week04_pond08_a	week04a	25.487	6.514	14.869	2.429	8.47	26.187	0.338	33.569	29.713	4.318	7.47
week04	pond09	a	control	week04_pond09_a	week04a	25.66	7.169	15.441	4.318	11.352	24.737	0.161	31.751	32.028	4.299	7.63
week04	pond10	a	control	week04_pond10_a	week04a	27.798	4.537	16.945	2.584	12.614	24.356	0.469	34.664	34.824	5.088	7.36
week04	pond01	b	herbivory	week04_pond01_b	week04b	20.8	4.043	12.903	2.205	7.64	23.657	0.611	29.22	34.397	4.65	7.35
week04	pond02	b	herbivory	week04_pond02_b	week04b	27.601	7.483	14.109	2.201	10.849	27.649	0.295	36.091	34.174	4.537	7.41
week04	pond03	b	herbivory	week04_pond03_b	week04b	26.089	4.104	14.283	2.556	13.049	26.647	0.075	36.514	36.49	4.616	7.54
week04	pond04	b	herbivory	week04_pond04_b	week04b	23.192	5.621	12.218	2.031	15.27	30.319	0.753	45.537	41.172	4.263	7.56
week04	pond05	b	herbivory	week04_pond05_b	week04b	16.58	4.016	9.287	1.83	10.942	28.297	0.435	45.219	40.646	4.439	7.9
week04	pond06	b	herbivory	week04_pond06_b	week04b	19.137	3.429	11.6	2.511	6.889	23.125	0.228	27.627	33.837	4.901	7.3
week04	pond07	b	herbivory	week04_pond07_b	week04b	23.084	4.794	15.179	2.456	7.193	24.326	0.229	37.098	28.25	3.499	7.58
week04	pond08	b	herbivory	week04_pond08_b	week04b	19.018	4.224	12.906	2.231	6.555	24.494	0.309	33.09	26.253	3.75	7.4
week04	pond09	b	herbivory	week04_pond09_b	week04b	17.323	5.891	9.113	2.034	7.872	24.221	0.232	30.959	31.49	4.249	7.37
week04	pond10	b	herbivory	week04_pond10_b	week04b	27.107	5.205	16.426	3.111	12.466	24.134	0.477	29.213	34.834	5.128	7.77
week06	pond01	a	control	week06_pond01_a	week06a	22.92	2.716	11.824	1.449	8.107	20.915	0.107	25.894	30.905	3.98	7.71
week06	pond02	a	control	week06_pond02_a	week06a	24.468	3.384	12.404	2.259	9.449	23.966	0.097	31.158	28.836	3.827	7.67
week06	pond03	a	control	week06_pond03_a	week06a	21.592	3.101	7.659	1.094	9.98	19.51	0.071	27.214	24.051	3.195	8.18
week06	pond04	a	control	week06_pond04_a	week06a	25.899	3.589	15.306	2.576	16.791	24.377	0.088	36.567	31.759	3.226	7.94
week06	pond05	a	control	week06_pond05_a	week06a	22.287	4.137	12.054	2.637	14.178	29.061	0.068	51.547	17.899	3.504	9.2
week06	pond06	a	control	week06_pond06_a	week06a	21.873	3.591	10.279	2.383	7.624	18.826	0.089	23.846	25.575	3.68	7.83
week06	pond07	a	control	week06_pond07_a	week06a	17.112	3.018	9.321	2.194	5.544	19.579	0.116	31.241	21.153	2.792	7.83
week06	pond08	a	control	week06_pond08_a	week06a	24.743	4.376	14.42	3.417	8.58	24.447	0.07	31.736	27.26	3.841	7.81
week06	pond09	a	control	week06_pond09_a	week06a	21.744	4.208	11.207	6.53	9.065	22.018	0.073	27.714	28.311	3.701	7.77
week06	pond10	a	control	week06_pond10_a	week06a	23.877	4.215	11.519	2.745	11.101	22.158	0.094	26.064	31.338	4.515	7.66
week06	pond01	b	herbivory	week06_pond01_b	week06b	21.813	4.505	11.899	3.108	8.302	21.834	0.103	27.188	32.245	4.225	7.64
week06	pond02	b	herbivory	week06_pond02_b	week06b	23.319	4.677	11.934	3.527	9.424	23.679	0.094	30.922	28.293	3.764	7.73
week06	pond03	b	herbivory	week06_pond03_b	week06b	21.019	4.115	7.757	2.385	10.809	23.393	0.046	32.252	29.273	3.837	8.1
week06	pond04	b	herbivory	week06_pond04_b	week06b	24.917	4.661	12.239	3.363	16.096	28.074	0.091	41.716	37.413	3.748	7.95
week06	pond05	b	herbivory	week06_pond05_b	week06b	21.791	4.525	11.139	2.82	13.296	28.137	0.06	50.054	16.169	3.435	9.21
week06	pond06	b	herbivory	week06_pond06_b	week06b	21.459	4.137	9.957	2.711	7.293	21.372	0.082	25.784	31.542	4.402	7.57
week06	pond07	b	herbivory	week06_pond07_b	week06b	16.96	3.623	9.39	2.751	5.576	20.766	0.059	32.885	23.022	2.997	7.73
week06	pond08	b	herbivory	week06_pond08_b	week06b	23.993	4.772	13.911	4.041	8.114	15.797	0.075	19.841	18.134	2.517	7.86
week06	pond09	b	herbivory	week06_pond09_b	week06b	21.705	4.489	11.351	3.584	9.028	22.104	0.083	28.044	28.216	3.756	7.79
week06	pond10	b	herbivory	week06_pond10_b	week06b	23.418	4.709	11.133	2.808	10.767	22.386	0.097	26.231	31.761	4.709	7.65
week08	pond01	a	control	week08_pond01_a	week08a	21.955	4.942	11.098	2.236	8.027	22.184	0.277	28.124	33.425	4.314	7.37
week08	pond03	a	control	week08_pond03_a	week08a	23.828	5.141	11.294	2.303	8.801	25.36	0.478	33.73	31.679	4.105	7.37
week08	pond03	a	control	week08_pond03_a	week08a	21.603	4.918	7.663	1.448	8.783	25.071	0.271	34.659	32.81	3.899	7.36
week08	pond05	a	control	week08_pond05_a	week08a	21.317	4.895	10.849	2.244	13.49	28.442	0.269	42.696	38.318	3.973	7.56
week08	pond05	a	control	week08_pond05_a	week08a	24.806	5.608	10.781	2.373	15.376	29.96	0.187	56.158	12.46	3.387	9.6
week08	pond06	a	control	week08_pond06_a	week08a	21.882	4.599	9.745	2.015	7.474	21.604	0.218	26.352	33.378	4.752	7.23
week08	pond07	a	control	week08_pond07_a	week08a	19.58	4.102	10.219	1.898	6.054	26.667	0.297	35.155	26.423	3.588	7.3
week08	pond08	a	control	week08_pond08_a	week08a	25.631	5.043	13.858	2.341	8.823	25.03	0.447	32.433	28.862	3.603	7.32
week08	pond09	a	control	week08_pond09_a	week08a	22.33	4.785	10.448	1.905	9.189	22.755	0.241	28.981	31.782	4.178	7.37
week08	pond10	a	control	week08_pond10_a	week08a	24.202	4.427	10.547	1.735	11.071	22.363	0.196	26.487	33.535	4.859	7.21
week08	pond01	b	herbivory	week08_pond01_b	week08b	22.478	4.354	10.67	2.124	6.585	22.196	0.231	27.625	33.467	4.371	7.33
week08	pond02	b	herbivory	week08_pond02_b	week08b	23.964	5.206	11.659	2.412	9.735	25.337	0.418	33.566	30.778	4.171	7.37
week08	pond03	b	herbivory	week08_pond03_b	week08b	21.827	4.55	7.921	1.672	10.469	24.992	0.193	34.482	32.469	4.275	7.4
week08	pond04	b	herbivory	week08_pond04_b	week08b	22.49	9.052	9.935	1.917	12.935	28.767	0.466	43.109	38.634	4.027	7.5
week08	pond05	b	herbivory	week08_pond05_b	week08b	20.758	5.209	10.437	2.096	10.499	30.168	0.207	56.062	25.241	3.611	9.57
week08	pond06	b	herbivory	week08_pond06_b	week08b	21.837	5.005	9.913	2.045	7.577	21.594	0.276	26.26	34.252	4.77	7.26
week08	pond07	b	herbivory	week08_pond07_b	week08b	18.82	4.123	9.907	1.957	4.776	22.401	0.303	35.058	26.329	3.502	7.36
week08	pond08	b	herbivory	week08_pond08_b	week08b	25.306	4.878	13.921	2.956	8.589	24.933	0.4	32.441	28.598	3.977	7.34
week08	pond09	b	herbivory	week08_pond09_b	week08b	21.984	4.899	9.968	2.229	7.17	22.762	0.233	29.033	29.791	3.999	7.28
week08	pond10	b	herbivory	week08_pond10_b	week08b	23.31	5.158	10.034	1.778	8.522	22.486	0.226	26.853	33.079	4.905	7.28
week10	pond01	a	control	week10_pond01_a	week10a	23.86	4.219	10.975	1.631	7.762	22.421	0.188	28.008	35.792	4.735	7.25
week10	pond02	a	control	week10_pond02_a	week10a	26.742	4.682	13.534	2.853	9.347	25.879	0.29	34.165	33.855	4.495	7.22
week10	pond03	a	control	week10_pond03_a	week10a	24.835	4.32	8.746	1.604	10.978	25.228	0.284	34.753	35.154	4.511	7.11
week10	pond04	a	control	week10_pond04_a	week10a	27.542	4.878	10.939	1.984	15.525	29.669	0.216	44.385	46.226	4.925	7.28
week10	pond05	a	control	week10_pond05_a	week10a	22.185	5.367	10.718	2.797	12.125	31.165	0.347	59.102	18.59	3.584	8.62
week10	pond06	a	control	week10_pond06_a	week10a	22.338	5.233	9.368	2.494	6.692	21.604	0.138	29.113	39.116	4.975	7.13
week10	pond07	a	control	week10_pond07_a	week10a	21.097	3.63	10.917	1.51	5.829	23.017	0.219	35.507	28.976	4.214	7.2
week10	pond08	a	control	week10_pond08_a	week10a	28.267	4.923	16.185	3.049	9.315	25.358	0.335	33.413	30.255	4.299	7.1
week10	pond09	a	control	week10_pond09_a	week10a	27.066	3.471	11.357	3.889	9.188	23.723	0.213	30.119	32.229	4.236	7.19
week10	pond10	a	control	week10_pond10_a	week10a	25.126	4.164	9.669	1.631	10.42	22.835	0.224	27.515	35.32	5.355	7.13
week10	pond01	b	herbivory	week10_pond01_b	week10b	22.963	5.342	10.385	2.376	7.224	21.986	0.165	27.633	35.175	4.522	7.25
week10	pond02	b	herbivory	week10_pond02_b	week10b	27.435	4.831	13.864	2.835	10.141	25.891	0.259	34.337	33.817	4.493	7.12
week10	pond03	b	herbivory	week10_pond03_b	week10b	24.46	4.436	9.022	1.833	10.983	25.143	0.193	34.784	36.044	4.519	7.7
week10	pond04	b	herbivory	week10_pond04_b	week10b	27.929	4.975	10.74	1.62	15.571	29.292	0.376	44.179	42.182	4.349	7.23
week10	pond05	b	herbivory	week10_pond05_b	week10b	23.209	3.755	11.82	3.795	13.843	30.956	0.219	58.791	16.226	3.501	8.71
week10	pond06	b	herbivory	week10_pond06_b	week10b	23.646	4.117	9.848	1.818	7.632	21.654	0.085	26.474	35.402	4.871	7.15
week10	pond07	b	herbivory	week10_pond07_b	week10b	21.381	3.606	11.076	1.39	6.442	23.015	0.229	35.926	28.707	3.85	7.19
week10	pond08	b	herbivory	week10_pond08_b	week10b	28.573	4.817	16.293	1.909	9.435	25.418	0.373	33.36	30.64	4.203	7.1
week10	pond09	b	herbivory	week10_pond09_b	week10b	24.861	4.412	11.3	2.322	9.575	22.804	0.26	29.191	30.452	4.292	7.32
week10	pond10	b	herbivory	week10_pond10_b	week10b	25.287	4.395	9.807	2.046	10.171	15.53	0.142	17.078	21.978	3.275	7.13
week12	pond01	a	control	week12_pond01_a	week12a	23.748	3.863	10.272	1.514	7.011	18.951	0.077	23.579	32.132	3.971	7.11
week12	pond02	a	control	week12_pond02_a	week12a	23.55	4.696	13.326	2.261	8.628	25.743	0.145	33.757	34.974	4.586	7
week12	pond03	a	control	week12_pond03_a	week12a	23.33	4.302	8.356	1.55	10.474	25.158	0.108	34.457	37.781	4.594	7.09
week12	pond04	a	control	week12_pond04_a	week12a	27.603	5.458	10.22	1.881	16.315	29.457	0.108	43.831	44.389	4.484	7.26
week12	pond05	a	control	week12_pond05_a	week12a	22.751	7	11.651	2.327	13.314	29.687	0.112	57.816	21.775	3.421	8.32
week12	pond06	a	control	week12_pond06_a	week12a	21.368	4.339	8.141	0.344	7.273	21.377	0.061	26.276	36.27	5.131	7.12
week12	pond07	a	control	week12_pond07_a	week12a	19.903	6.149	10.043	0.604	5.675	22.852	0.139	36.49	29.985	3.977	7.15
week12	pond08	a	control	week12_pond08_a	week12a	27.702	5.398	17.118	1.578	7.9	25.441	0.1	35.264	32.442	4.389	7.03
week12	pond09	a	control	week12_pond09_a	week12a	24.511	4.884	11.891	1.211	8.098	23.436	0.072	29.679	32.991	4.361	7.11
week12	pond10	a	control	week12_pond10_a	week12a	21.976	4.36	7.898	0.73	7.546	22.597	0.096	26.852	36.212	5.624	7.14
week12	pond01	b	herbivory	week12_pond01_b	week12b	14.406	2.412	6.429	1.166	5.388	22.189	0.09	27.468	36.687	4.695	7.17
week12	pond02	b	herbivory	week12_pond02_b	week12b	26.937	5.087	13.603	2.478	9.899	25.578	0.09	33.733	34.622	4.578	7.06
week12	pond03	b	herbivory	week12_pond03_b	week12b	22.874	4.459	8.276	1.52	10.498	25.252	0.096	34.646	37.726	4.654	7.1
week12	pond04	b	herbivory	week12_pond04_b	week12b	27.777	5.475	10.485	0.59	16.308	29.308	0.073	43.849	44.117	4.5	7.17
week12	pond05	b	herbivory	week12_pond05_b	week12b	16.337	3.377	8.522	1.905	9.594	31.744	0.063	60.921	22.474	3.713	8.44
week12	pond06	b	herbivory	week12_pond06_b	week12b	22.981	4.124	8.432	0.536	7.879	21.393	0.076	26.01	36.125	5.051	7.06
week12	pond07	b	herbivory	week12_pond07_b	week12b	23.417	4.578	14.387	2.924	8.344	22.791	0.132	35.667	29.632	3.955	7.15
week12	pond08	b	herbivory	week12_pond08_b	week12b	26.614	5.11	16.82	1.898	7.627	25.883	0.077	33.977	32.586	5.209	7.05
week12	pond09	b	herbivory	week12_pond09_b	week12b	24.037	4.798	11.794	1.194	7.494	11.73	0.09	13.31	17.487	2.131	7.14
week12	pond10	b	herbivory	week12_pond10_b	week12b	23.226	4.622	9.263	1.358	9.605	22.676	0.098	27.17	36.57	5.084	7.25
