"Genus"
"Taxon_1" "[Arcobacter] porcinus"
"Taxon_103" "Acinetobacter guillouiae"
"Taxon_104" "Acinetobacter gyllenbergii"
"Taxon_105" "Acinetobacter haemolyticus"
"Taxon_106" "Acinetobacter indicus"
"Taxon_107" "Acinetobacter johnsonii"
"Taxon_108" "Acinetobacter junii"
"Taxon_109" "Acinetobacter lactucae"
"Taxon_110" "Acinetobacter lanii"
"Taxon_111" "Acinetobacter larvae"
"Taxon_112" "Acinetobacter lwoffii"
"Taxon_113" "Acinetobacter nosocomialis"
"Taxon_114" "Acinetobacter oleivorans"
"Taxon_115" "Acinetobacter piscicola"
"Taxon_116" "Acinetobacter pittii"
"Taxon_117" "Acinetobacter radioresistens"
"Taxon_118" "Acinetobacter schindleri"
"Taxon_119" "Acinetobacter seifertii"
"Taxon_120" "Acinetobacter shaoyimingii"
"Taxon_121" "Acinetobacter soli"
"Taxon_122" "Acinetobacter sp. 10FS3-1"
"Taxon_123" "Acinetobacter sp. ACNIH1"
"Taxon_124" "Acinetobacter sp. ACNIH2"
"Taxon_125" "Acinetobacter sp. BEC1-S18-ESBL-01"
"Taxon_126" "Acinetobacter sp. C16S1"
"Taxon_127" "Acinetobacter sp. CS-2"
"Taxon_128" "Acinetobacter sp. FDAARGOS_724"
"Taxon_129" "Acinetobacter sp. LoGeW2-3"
"Taxon_130" "Acinetobacter sp. Marseille-Q1620"
"Taxon_131" "Acinetobacter sp. MYb10"
"Taxon_132" "Acinetobacter sp. NCu2D-2"
"Taxon_133" "Acinetobacter sp. NEB 394"
"Taxon_134" "Acinetobacter sp. NEB149"
"Taxon_135" "Acinetobacter sp. SWBY1"
"Taxon_136" "Acinetobacter sp. TGL-Y2"
"Taxon_137" "Acinetobacter sp. TTH0-4"
"Taxon_138" "Acinetobacter sp. WCHA45"
"Taxon_139" "Acinetobacter sp. WCHA55"
"Taxon_140" "Acinetobacter sp. WCHAc010034"
"Taxon_141" "Acinetobacter sp. WCHAc010052"
"Taxon_142" "Acinetobacter sp. YH12138"
"Taxon_143" "Acinetobacter tandoii"
"Taxon_144" "Acinetobacter towneri"
"Taxon_145" "Acinetobacter ursingii"
"Taxon_146" "Acinetobacter variabilis"
"Taxon_147" "Acinetobacter venetianus"
"Taxon_148" "Acinetobacter wanghuae"
"Taxon_149" "Acinetobacter wuhouensis"
"Taxon_150" "Actinoalloteichus fjordicus"
"Taxon_151" "Actinoalloteichus hoggarensis"
"Taxon_152" "Actinoalloteichus hymeniacidonis"
"Taxon_153" "Actinoalloteichus sp. GBA129-24"
"Taxon_154" "Actinobacillus delphinicola"
"Taxon_155" "Actinobacillus equuli"
"Taxon_156" "Actinobacillus indolicus"
"Taxon_157" "Actinobacillus lignieresii"
"Taxon_158" "Actinobacillus pleuropneumoniae"
"Taxon_159" "Actinobacillus porcitonsillarum"
"Taxon_160" "Actinobacillus sp. GY-402"
"Taxon_161" "Actinobacillus succinogenes"
"Taxon_162" "Actinobacillus suis"
"Taxon_163" "Actinobaculum sp. 313"
"Taxon_164" "Actinocatenispora thailandica"
"Taxon_165" "Actinomadura sp. NAK00032"
"Taxon_166" "Actinomadura sp. WMMA1423"
"Taxon_167" "Actinomadura sp. WMMB 499"
"Taxon_168" "Actinomadura verrucosospora"
"Taxon_169" "Actinomarinicola tropica"
"Taxon_170" "Actinomyces gaoshouyii"
"Taxon_171" "Actinomyces howellii"
"Taxon_172" "Actinomyces israelii"
"Taxon_173" "Actinomyces lilanjuaniae"
"Taxon_174" "Actinomyces marmotae"
"Taxon_175" "Actinomyces naeslundii"
"Taxon_176" "Actinomyces oris"
"Taxon_177" "Actinomyces pacaensis"
"Taxon_178" "Actinomyces procaprae"
"Taxon_179" "Actinomyces qiguomingii"
"Taxon_180" "Actinomyces radicidentis"
"Taxon_181" "Actinomyces slackii"
"Taxon_182" "Actinomyces sp. 432"
"Taxon_183" "Actinomyces sp. Chiba101"
"Taxon_184" "Actinomyces sp. HMT 175"
"Taxon_185" "Actinomyces sp. HMT897"
"Taxon_186" "Actinomyces sp. oral taxon 169"
"Taxon_187" "Actinomyces sp. oral taxon 171"
"Taxon_188" "Actinomyces sp. oral taxon 414"
"Taxon_189" "Actinomyces sp. oral taxon 897"
"Taxon_190" "Actinomyces sp. Z16"
"Taxon_191" "Actinomyces sp. zg-332"
"Taxon_192" "Actinomyces sp. zg-993"
"Taxon_193" "Actinomyces sp. ZJ34"
"Taxon_194" "Actinomyces sp. ZJ750"
"Taxon_195" "Actinomyces viscosus"
"Taxon_196" "Actinomyces weissii"
"Taxon_197" "Actinomyces wuliandei"
"Taxon_198" "Actinoplanes derwentensis"
"Taxon_199" "Actinoplanes friuliensis"
"Taxon_200" "Actinoplanes missouriensis"
"Taxon_201" "Actinoplanes sp. N902-109"
"Taxon_202" "Actinoplanes sp. OR16"
"Taxon_203" "Actinoplanes teichomyceticus"
"Taxon_204" "Actinopolymorpha singaporensis"
"Taxon_205" "Actinopolyspora erythraea"
"Taxon_206" "Actinosynnema mirum"
"Taxon_207" "Actinosynnema pretiosum"
"Taxon_208" "Actinotalea sp. JY-7876"
"Taxon_209" "Actinotignum schaalii"
"Taxon_210" "Acutalibacter muris"
"Taxon_211" "Adhaeribacter radiodurans"
"Taxon_212" "Adhaeribacter swui"
"Taxon_213" "Adlercreutzia equolifaciens"
"Taxon_214" "Adlercreutzia sp. 8CFCBH1"
"Taxon_215" "Advenella kashmirensis"
"Taxon_216" "Advenella mimigardefordensis"
"Taxon_217" "Aeoliella mucimassa"
"Taxon_218" "Aequorivita sp. H23M31"
"Taxon_219" "Aequorivita sp. KX20305"
"Taxon_220" "Aequorivita sublithincola"
"Taxon_221" "Aeribacillus pallidus"
"Taxon_222" "Aerococcus christensenii"
"Taxon_223" "Aerococcus sanguinicola"
"Taxon_224" "Aerococcus urinae"
"Taxon_225" "Aerococcus urinaeequi"
"Taxon_226" "Aerococcus urinaehominis"
"Taxon_227" "Aerococcus viridans"
"Taxon_228" "Aeromicrobium chenweiae"
"Taxon_229" "Aeromicrobium choanae"
"Taxon_230" "Aeromicrobium erythreum"
"Taxon_231" "Aeromicrobium marinum"
"Taxon_232" "Aeromicrobium sp. A1-2"
"Taxon_233" "Aeromicrobium sp. zg-629"
"Taxon_234" "Aeromicrobium yanjiei"
"Taxon_235" "Aeromonas allosaccharophila"
"Taxon_236" "Aeromonas caviae"
"Taxon_237" "Aeromonas dhakensis"
"Taxon_238" "Aeromonas encheleia"
"Taxon_239" "Aeromonas hydrophila"
"Taxon_240" "Aeromonas jandaei"
"Taxon_241" "Aeromonas media"
"Taxon_242" "Aeromonas rivipollensis"
"Taxon_243" "Aeromonas salmonicida"
"Taxon_244" "Aeromonas schubertii"
"Taxon_245" "Aeromonas simiae"
"Taxon_246" "Aeromonas sp. 1805"
"Taxon_247" "Aeromonas sp. 2692-1"
"Taxon_248" "Aeromonas sp. ASNIH1"
"Taxon_249" "Aeromonas sp. ASNIH2"
"Taxon_250" "Aeromonas sp. ASNIH3"
"Taxon_251" "Aeromonas sp. ASNIH4"
"Taxon_252" "Aeromonas sp. ASNIH5"
"Taxon_253" "Aeromonas sp. CA23"
"Taxon_254" "Aeromonas sp. CU5"
"Taxon_255" "Aeromonas veronii"
"Taxon_256" "Aerosticca soli"
"Taxon_257" "Afipia carboxidovorans"
"Taxon_258" "Afipia sp. GAS231"
"Taxon_259" "Agarilytica rhodophyticola"
"Taxon_260" "Agarivorans gilvus"
"Taxon_261" "Aggregatibacter actinomycetemcomitans"
"Taxon_262" "Aggregatibacter aphrophilus"
"Taxon_263" "Aggregatibacter segnis"
"Taxon_264" "Aggregatibacter sp. 2125159857"
"Taxon_265" "Agreia sp. COWG"
"Taxon_266" "Agrobacterium deltaense"
"Taxon_267" "Agrobacterium fabacearum"
"Taxon_268" "Agrobacterium fabrum"
"Taxon_269" "Agrobacterium genomosp. 3"
"Taxon_270" "Agrobacterium genomosp. 6"
"Taxon_271" "Agrobacterium larrymoorei"
"Taxon_272" "Agrobacterium rhizogenes"
"Taxon_273" "Agrobacterium rubi"
"Taxon_274" "Agrobacterium sp. 33MFTa1.1"
"Taxon_275" "Agrobacterium sp. CGMCC 11546"
"Taxon_276" "Agrobacterium sp. MA01"
"Taxon_277" "Agrobacterium sp. RAC06"
"Taxon_278" "Agrobacterium sp. T29"
"Taxon_279" "Agrobacterium tumefaciens"
"Taxon_280" "Agrobacterium vitis"
"Taxon_281" "Agrococcus carbonis"
"Taxon_282" "Agrococcus jejuensis"
"Taxon_283" "Agrococcus sp. SGAir0287"
"Taxon_284" "Agromyces aureus"
"Taxon_285" "Agromyces badenianii"
"Taxon_286" "Agromyces flavus"
"Taxon_287" "Agromyces protaetiae"
"Taxon_288" "Agromyces sp. G127AT"
"Taxon_289" "Agromyces sp. HY052"
"Taxon_290" "Agromyces sp. KACC 19306"
"Taxon_291" "Agromyces sp. LHK192"
"Taxon_292" "Ahniella affigens"
"Taxon_293" "Akkermansia glycaniphila"
"Taxon_294" "Akkermansia muciniphila"
"Taxon_295" "Alcaligenes aquatilis"
"Taxon_296" "Alcaligenes faecalis"
"Taxon_297" "Alcaligenes sp. SORT26"
"Taxon_298" "Alcanivorax borkumensis"
"Taxon_299" "Alcanivorax dieselolei"
"Taxon_300" "Alcanivorax pacificus"
"Taxon_301" "Alcanivorax sp. N3-2A"
"Taxon_302" "Alcanivorax sp. NBRC 101098"
"Taxon_303" "Alcanivorax xenomutans"
"Taxon_304" "Algibacter alginicilyticus"
"Taxon_305" "Algibacter sp. L1A34"
"Taxon_306" "Algibacter sp. L3A6"
"Taxon_307" "Algicoccus marinus"
"Taxon_308" "Algoriphagus machipongonensis"
"Taxon_309" "Algoriphagus sanaruensis"
"Taxon_310" "Algoriphagus sp. Y33"
"Taxon_311" "Aliarcobacter butzleri"
"Taxon_312" "Aliarcobacter cibarius"
"Taxon_313" "Aliarcobacter cryaerophilus"
"Taxon_314" "Aliarcobacter faecis"
"Taxon_315" "Aliarcobacter lanthieri"
"Taxon_316" "Aliarcobacter skirrowii"
"Taxon_317" "Aliarcobacter thereius"
"Taxon_318" "Aliarcobacter trophiarum"
"Taxon_319" "Alicycliphilus denitrificans"
"Taxon_320" "Alicyclobacillus acidocaldarius"
"Taxon_321" "Alicyclobacillus ferrooxydans"
"Taxon_322" "Alicyclobacillus sp. SO9"
"Taxon_323" "Alicyclobacillus sp. TC"
"Taxon_324" "Alienimonas californiensis"
"Taxon_325" "Aliivibrio fischeri"
"Taxon_326" "Aliivibrio salmonicida"
"Taxon_327" "Alistipes communis"
"Taxon_328" "Alistipes dispar"
"Taxon_329" "Alistipes finegoldii"
"Taxon_330" "Alistipes indistinctus"
"Taxon_331" "Alistipes megaguti"
"Taxon_332" "Alistipes onderdonkii"
"Taxon_333" "Alistipes shahii"
"Taxon_334" "Alistipes sp. dk3624"
"Taxon_335" "Alkalibacter sp. ES005"
"Taxon_336" "Alkalihalobacillus clausii"
"Taxon_337" "Alkalihalobacillus halodurans"
"Taxon_338" "Alkalihalobacillus krulwichiae"
"Taxon_339" "Alkalihalobacillus lehensis"
"Taxon_340" "Alkalihalobacillus miscanthi"
"Taxon_341" "Alkalihalobacillus pseudofirmus"
"Taxon_342" "Alkalilimnicola ehrlichii"
"Taxon_343" "Alkaliphilus metalliredigens"
"Taxon_344" "Alkaliphilus oremlandii"
"Taxon_345" "Alkalitalea saponilacus"
"Taxon_346" "Alloactinosynnema sp. L-07"
"Taxon_347" "Allochromatium vinosum"
"Taxon_348" "Allofrancisella frigidaquae"
"Taxon_349" "Allofrancisella guangzhouensis"
"Taxon_350" "Allofrancisella inopinata"
"Taxon_351" "Allokutzneria albata"
"Taxon_352" "Alloprevotella sp. E39"
"Taxon_353" "Allosphingosinicella indica"
"Taxon_354" "Altererythrobacter atlanticus"
"Taxon_355" "Altererythrobacter epoxidivorans"
"Taxon_356" "Altererythrobacter ishigakiensis"
"Taxon_357" "Altererythrobacter sp. B11"
"Taxon_358" "Altererythrobacter sp. BO-6"
"Taxon_359" "Altererythrobacter sp. TH136"
"Taxon_360" "Altererythrobacter sp. ZODW24"
"Taxon_361" "Alteromonas addita"
"Taxon_362" "Alteromonas australica"
"Taxon_363" "Alteromonas macleodii"
"Taxon_364" "Alteromonas mediterranea"
"Taxon_365" "Alteromonas naphthalenivorans"
"Taxon_366" "Alteromonas pelagimontana"
"Taxon_367" "Alteromonas sp. 76-1"
"Taxon_368" "Alteromonas sp. B31-7"
"Taxon_369" "Alteromonas sp. BL110"
"Taxon_370" "Alteromonas sp. MB-3u-76"
"Taxon_371" "Alteromonas sp. RKMC-009"
"Taxon_372" "Alteromonas sp. RW2A1"
"Taxon_373" "Alteromonas stellipolaris"
"Taxon_374" "Altibacter sp. ALE3EI"
"Taxon_375" "Alysiella filiformis"
"Taxon_376" "Amedibacterium intestinale"
"Taxon_377" "Aminipila butyrica"
"Taxon_378" "Aminipila sp. CBA3637"
"Taxon_379" "Aminipila sp. JN-18"
"Taxon_380" "Aminobacter aminovorans"
"Taxon_381" "Aminobacter sp. MDW-2"
"Taxon_382" "Aminobacter sp. MSH1"
"Taxon_383" "Aminobacter sp. SR38"
"Taxon_384" "Aminomonas paucivorans"
"Taxon_385" "Ammonifex degensii"
"Taxon_386" "Amniculibacterium sp. G2-70"
"Taxon_387" "Amphibacillus xylanus"
"Taxon_388" "Amphritea japonica"
"Taxon_389" "Amycolatopsis albispora"
"Taxon_390" "Amycolatopsis japonica"
"Taxon_391" "Amycolatopsis keratiniphila"
"Taxon_392" "Amycolatopsis mediterranei"
"Taxon_393" "Amycolatopsis methanolica"
"Taxon_394" "Amycolatopsis orientalis"
"Taxon_395" "Amycolatopsis sp. AA4"
"Taxon_396" "Amycolatopsis sp. BJA-103"
"Taxon_397" "Amycolatopsis sp. FDAARGOS 1241"
"Taxon_398" "Amycolatopsis sp. Hca4"
"Taxon_399" "Amycolatopsis sp. YIM 10"
"Taxon_400" "Amylolactobacillus amylophilus"
"Taxon_401" "Anabaena cylindrica"
"Taxon_402" "Anabaena sp. 90"
"Taxon_403" "Anabaena sp. WA102"
"Taxon_404" "Anabaena sp. YBS01"
"Taxon_405" "Anabaenopsis circularis"
"Taxon_406" "Anabaenopsis elenkinii"
"Taxon_407" "Anaerobacillus isosaccharinicus"
"Taxon_408" "Anaerobutyricum hallii"
"Taxon_409" "Anaerococcus mediterraneensis"
"Taxon_410" "Anaerococcus obesiensis"
"Taxon_411" "Anaerococcus prevotii"
"Taxon_412" "Anaerocolumna cellulosilytica"
"Taxon_413" "Anaerocolumna sedimenticola"
"Taxon_414" "Anaerocolumna sp. CTTW"
"Taxon_415" "Anaerohalosphaera lusitana"
"Taxon_416" "Anaerolinea sp. rifampicinis"
"Taxon_417" "Anaerolinea thermophila"
"Taxon_418" "Anaeromyxobacter dehalogenans"
"Taxon_419" "Anaeromyxobacter sp. Fw109-5"
"Taxon_420" "Anaeromyxobacter sp. K"
"Taxon_421" "Anaerostipes caccae"
"Taxon_422" "Anaerostipes hadrus"
"Taxon_423" "Anaerostipes rhamnosivorans"
"Taxon_424" "Anaerotignum propionicum"
"Taxon_425" "Anaplasma centrale"
"Taxon_426" "Anaplasma marginale"
"Taxon_427" "Anaplasma ovis"
"Taxon_428" "Anaplasma phagocytophilum"
"Taxon_429" "Anaplasma platys"
"Taxon_430" "Anatilimnocola aggregata"
"Taxon_431" "Ancylobacter pratisalsi"
"Taxon_432" "Ancylobacter sp. TS-1"
"Taxon_433" "Aneurinibacillus soli"
"Taxon_434" "Aneurinibacillus sp. XH2"
"Taxon_435" "Anoxybacillus amylolyticus"
"Taxon_436" "Anoxybacillus caldiproteolyticus"
"Taxon_437" "Anoxybacillus flavithermus"
"Taxon_438" "Anoxybacillus gonensis"
"Taxon_439" "Anoxybacter fermentans"
"Taxon_440" "Anseongella ginsenosidimutans"
"Taxon_441" "Antarcticibacterium arcticum"
"Taxon_442" "Antarcticibacterium flavum"
"Taxon_443" "Antarctobacter heliothermus"
"Taxon_444" "Apibacter raozihei"
"Taxon_445" "Apibacter sp. B2966"
"Taxon_446" "Apibacter sp. B3706"
"Taxon_447" "Apilactobacillus bombintestini"
"Taxon_448" "Apilactobacillus kunkeei"
"Taxon_449" "Aquabacter sp. L1I39"
"Taxon_450" "Aquabacterium olei"
"Taxon_451" "Aquaspirillum sp. LM1"
"Taxon_452" "Aquicella lusitana"
"Taxon_453" "Aquicella siphonis"
"Taxon_454" "Aquiflexum balticum"
"Taxon_455" "Aquimarina sp. AD1"
"Taxon_456" "Aquimarina sp. AD10"
"Taxon_457" "Aquimarina sp. BL5"
"Taxon_458" "Aquimarina sp. TRL1"
"Taxon_459" "Aquirhabdus parva"
"Taxon_460" "Aquirufa nivalisilvae"
"Taxon_461" "Aquisalimonas sp. 2447"
"Taxon_462" "Aquisphaera giovannonii"
"Taxon_463" "Aquitalea aquatilis"
"Taxon_464" "Aquitalea denitrificans"
"Taxon_465" "Aquitalea magnusonii"
"Taxon_466" "Aquitalea sp. USM4"
"Taxon_467" "Arabia massiliensis"
"Taxon_468" "Arachidicoccus ginsenosidivorans"
"Taxon_469" "Arachidicoccus soli"
"Taxon_470" "Arachidicoccus sp. B3-10"
"Taxon_471" "Arachidicoccus sp. BS20"
"Taxon_472" "Arcanobacterium haemolyticum"
"Taxon_473" "Arcanobacterium phocae"
"Taxon_474" "Arcanobacterium phocisimile"
"Taxon_475" "Arcanobacterium sp. 2701"
"Taxon_476" "Arcanobacterium sp. JY-X040"
"Taxon_477" "Archangium gephyra"
"Taxon_478" "Archangium violaceum"
"Taxon_479" "Arcobacter anaerophilus"
"Taxon_480" "Arcobacter aquimarinus"
"Taxon_481" "Arcobacter cloacae"
"Taxon_482" "Arcobacter defluvii"
"Taxon_483" "Arcobacter ellisii"
"Taxon_484" "Arcobacter nitrofigilis"
"Taxon_485" "Arcobacter peruensis"
"Taxon_486" "Arcobacter sp. FWKO B"
"Taxon_487" "Arcobacter suis"
"Taxon_488" "Arcobacter venerupis"
"Taxon_489" "Arcticibacterium luteifluviistationis"
"Taxon_490" "Arenibacter algicola"
"Taxon_491" "Arenimonas daejeonensis"
"Taxon_492" "Aromatoleum aromaticum"
"Taxon_493" "Aromatoleum bremense"
"Taxon_494" "Aromatoleum petrolei"
"Taxon_495" "Arsenicicoccus sp. oral taxon 190"
"Taxon_496" "Arsenophonus endosymbiont of Aleurodicus dispersus"
"Taxon_497" "Arsenophonus endosymbiont of Aphis craccivora"
"Taxon_498" "Arsenophonus nasoniae"
"Taxon_499" "Arthrobacter agilis"
"Taxon_500" "Arthrobacter alpinus"
"Taxon_501" "Arthrobacter citreus"
"Taxon_502" "Arthrobacter crystallopoietes"
"Taxon_503" "Arthrobacter dokdonellae"
"Taxon_504" "Arthrobacter sp."
"Taxon_505" "Arthrobacter sp. 24S4-2"
"Taxon_506" "Arthrobacter sp. 68b"
"Taxon_507" "Arthrobacter sp. AQ5-05"
"Taxon_508" "Arthrobacter sp. D5-1"
"Taxon_509" "Arthrobacter sp. ERGS1:01"
"Taxon_510" "Arthrobacter sp. FB24"
"Taxon_511" "Arthrobacter sp. J3.40"
"Taxon_512" "Arthrobacter sp. KBS0702"
"Taxon_513" "Arthrobacter sp. NEB 688"
"Taxon_514" "Arthrobacter sp. PAMC 25486"
"Taxon_515" "Arthrobacter sp. PAMC25564"
"Taxon_516" "Arthrobacter sp. PGP41"
"Taxon_517" "Arthrobacter sp. PM3"
"Taxon_518" "Arthrobacter sp. QXT-31"
"Taxon_519" "Arthrobacter sp. Rue61a"
"Taxon_520" "Arthrobacter sp. TES"
"Taxon_521" "Arthrobacter sp. U41"
"Taxon_522" "Arthrobacter sp. UKPF54-2"
"Taxon_523" "Arthrobacter sp. YC-RL1"
"Taxon_524" "Arthrobacter sp. YN"
"Taxon_525" "Arthrobacter sp. ZXY-2"
"Taxon_526" "Arthrobacter woluwensis"
"Taxon_527" "Arthrospira platensis"
"Taxon_528" "Asaia bogorensis"
"Taxon_529" "Aspergillus fumigatus"
"Taxon_530" "Aspergillus oryzae"
"Taxon_531" "Aster yellows witches-broom phytoplasma	229545	S	11	1	12	0.00000
Acholeplasma axanthum	29552	S	12	1	13	0.00000
Deinococcus sp. AJ005	2652443	S	65	2	67	0.00001
Deinococcus sp. NW-56	2080419	S	61	4	65	0.00001
Deinococcus sp. S14-83	2489213	S	27	0	27	0.00001
Deinococcus maricopensis	309887	S	128	5	133	0.00002
Deinococcus wulumuqiensis	980427	S	106	21	127	0.00002
Deinococcus metallilatus	1211322	S	103	7	110	0.00002
Deinococcus actinosclerus	1768108	S	88	27	115	0.00002
Deinococcus ficus	317577	S	72	2	74	0.00001
Deinococcus peraridilitoris	432329	S	68	1	69	0.00001
Deinococcus irradiatisoli	2202254	S	62	2	64	0.00001
Deinococcus gobiensis	502394	S	52	2	54	0.00001
Deinococcus deserti	310783	S	49	1	50	0.00001
Deinococcus geothermalis	68909	S	47	6	53	0.00001
Deinococcus soli Cha et al. 2016	1309411	S	37	20	57	0.00001
Deinococcus radiodurans	1299	S	34	6	40	0.00001
Deinococcus proteolyticus	55148	S	27	1	28	0.00001
Deinococcus puniceus	1182568	S	23	0	23	0.00000
Deinococcus swuensis	1182571	S	19	1	20	0.00000
Meiothermus ruber	277	S	61	37	98	0.00002
Meiothermus silvanus	52022	S	19	2	21	0.00000
Thermus thermophilus	274	S	13	13	26	0.00000
Oceanithermus profundus	187137	S	30	0	30	0.00001
Marinithermus hydrothermalis	186192	S	10	0	10	0.00000
Truepera radiovictrix	332249	S	44	0	44	0.00001
Sphaerobacter thermophilus	2057	S	95	0	95	0.00002
Thermomicrobium roseum	500	S	32	0	32	0.00001
Candidatus Promineofilum breve	1806508	S	62	0	62	0.00001
Pelolinea submarina	913107	S	51	1	52	0.00001
Roseiflexus sp. RS-1	357808	S	22	0	22	0.00000
Roseiflexus castenholzii	120962	S	21	0	21	0.00000
Ktedonosporobacter rubrisoli	2509675	S	52	0	52	0.00001
Tepidiforma bonchosmolovskayae	2601677	S	48	0	48	0.00001
Caldilinea aerophila	133453	S	19	0	19	0.00000
Fimbriimonas ginsengisoli	1005039	S	29	0	29	0.00001
Polaribacter sp. BM10	1529069	S	23660	1850	25510	0.00478
Polaribacter sp. SA4-10	754397	S	64	1	65	0.00001
Polaribacter sp. G4M1	2808900	S	39	0	39	0.00001
Polaribacter sp. KT25b	1855336	S	32	0	32	0.00001
Polaribacter sp. L3A8	2686361	S	32	1	33	0.00001
Polaribacter sp. Hel1_33_78	1336804	S	30	0	30	0.00001
Polaribacter sp. MED152	313598	S	29	0	29	0.00001
Polaribacter sp. ALD11	2058137	S	27	1	28	0.00001
Polaribacter sp. SM13	2818493	S	23	0	23	0.00000
Polaribacter sp. SA4-12	1312072	S	20	0	20	0.00000
Polaribacter sp. L12M9	2738844	S	13	0	13	0.00000
Polaribacter reichenbachii	996801	S	45	0	45	0.00001
Polaribacter vadi	1774273	S	40	1	41	0.00001
